Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/extensions/StructureDefinition-ptFilliation.json	2149	7	0	0	0	0	0	33	0	45	0	0	0	0	0	0	0	0	0	0	75	264	0	0	0	1	0	0
input/extensions/StructureDefinition-presc-local.json	1238	4	1	0	0	0	0	13	0	11	0	0	0	0	0	0	0	0	0	0	33	118	0	0	0	1	0	0
input/extensions/StructureDefinition-med-prescription-dosage-line.json	1154	5	0	0	0	0	0	14	0	10	0	0	0	0	0	0	0	0	0	0	32	117	0	0	0	1	0	0
input/extensions/StructureDefinition-med-prescription-framing-dispense.json	2787	6	0	0	0	0	0	24	0	24	0	0	0	0	0	0	0	1	0	0	79	278	0	0	0	1	0	1
input/extensions/StructureDefinition-ptPatientOtherInfo.json	1124	5	1	0	0	0	0	11	0	9	0	0	0	0	0	0	0	0	0	0	32	116	0	0	0	1	0	0
input/extensions/StructureDefinition-ptAddress.json	11304	27	0	0	0	0	0	114	0	121	0	0	2	0	0	0	0	0	0	0	420	1455	0	0	0	7	0	1
input/extensions/StructureDefinition-med-prescription-cancel-reason.json	1267	4	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	33	120	0	0	0	0	0	0
input/extensions/StructureDefinition-presc-transcription.json	1161	4	0	0	0	0	0	11	0	9	0	0	0	0	0	0	0	1	0	0	32	112	0	0	0	1	0	0
input/extensions/StructureDefinition-nextAppointmentDate.json	1324	4	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	32	147	0	0	0	1	0	0
input/extensions/StructureDefinition-presc-print.json	1043	4	0	0	0	0	0	18	0	10	0	0	0	0	0	0	0	0	0	0	31	106	0	0	0	1	0	0
input/extensions/StructureDefinition-CardInfo.json	2573	7	0	0	0	0	0	40	0	51	0	0	0	0	0	0	0	0	0	0	109	237	0	0	0	1	0	0
input/extensions/StructureDefinition-presc-administration.json	1319	4	1	0	0	0	0	15	0	10	0	0	0	0	0	0	0	0	0	0	32	111	0	0	0	1	0	0
input/extensions/StructureDefinition-prescription-duplicate.json	1132	3	0	0	0	0	0	11	0	9	0	0	0	0	0	0	0	0	0	0	32	162	0	0	0	1	0	0
input/profiles/StructureDefinition-bundle-response-profile.json	1236	4	0	0	0	0	0	75	0	42	0	0	1	0	0	0	0	0	0	0	101	522	0	0	0	2	0	1
input/profiles/StructureDefinition-med-pemh-profile.json	2656	12	0	0	0	0	0	125	0	120	0	0	0	0	0	0	0	1	0	0	258	1312	0	0	0	5	0	1
input/profiles/StructureDefinition-msh-response-profile.json	4137	13	0	0	0	0	0	116	0	72	0	0	0	0	0	0	0	1	0	0	216	1017	0	0	0	4	1	0
input/profiles/StructureDefinition-PEMHbundleRquest.json	2849	7	0	0	0	0	0	223	0	110	0	0	0	0	0	0	0	0	0	0	289	1813	0	0	0	6	0	2
input/profiles/StructureDefinition-content-profile.json	3274	8	1	0	0	0	0	82	0	66	0	0	0	0	0	0	0	1	0	0	178	760	0	0	0	4	0	0
input/profiles/StructureDefinition-encounter-pemh-profile.json	2387	6	0	0	0	0	0	104	0	111	0	0	0	0	0	0	0	1	0	0	207	866	0	0	0	5	0	1
input/profiles/StructureDefinition-content-response-profile.json	3487	7	0	0	0	0	0	75	0	66	0	0	0	0	0	0	0	0	0	0	179	1162	0	0	0	4	0	1
input/profiles/StructureDefinition-location-pemh-profile.json	1764	5	0	0	0	0	0	46	0	43	0	0	0	0	0	0	0	1	0	0	114	536	0	0	0	3	0	0
input/profiles/StructureDefinition-patient-pemh-profile.json	8875	21	0	0	0	0	0	352	0	342	0	0	1	0	0	0	0	1	0	0	690	2740	0	0	0	12	0	2
input/profiles/StructureDefinition-msh-profile.json	3651	9	1	0	0	0	0	72	0	81	0	0	0	0	0	0	0	1	0	0	197	868	0	0	0	4	0	0
input/profiles/StructureDefinition-coverage-pemh-profile.json	4037	8	0	0	0	0	0	81	0	111	0	0	0	0	0	0	0	0	0	0	219	772	0	0	0	7	0	0
input/profiles/StructureDefinition-med-request-profile.json	9882	41	0	0	0	0	0	170	0	159	0	0	0	0	0	0	0	1	0	0	419	1554	0	1	0	10	1	1
input/vocabulary/ValueSet-EventagsVS.json	275	3	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	4	5460	0	0	0	1	0	0
input/vocabulary/ValueSet-EventCodeVS.json	278	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	29	0	0	0	0	0	0
input/vocabulary/ValueSet-MedPrescriptionCancelReasonVS.json	332	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0	0	0
input/vocabulary/ValueSet-MedPrescriptionLegalDiplomaVS.json	332	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	22	0	0	0	0	0	0
input/vocabulary/ValueSet-MedPrescriptionTypeVS.json	308	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	21	0	0	0	0	0	0
input/vocabulary/ValueSet-CardInfoTypeVS.json	287	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	25	0	0	0	0	0	0
input/vocabulary/ValueSet-episodeServiceSpecialtyVS.json	320	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	22	0	0	0	1	0	0
input/vocabulary/ValueSet-MeaningOrderVS.json	287	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	21	0	0	1	0	0	0
input/vocabulary/ValueSet-CardCountryVS.json	284	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	0	0
input/vocabulary/ValueSet-MedPrescriptionFrequencyTimeVS.json	335	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	21	0	0	0	0	0	0
input/vocabulary/CodeSystem-MeaningOrderCS.json	338	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	24	0	0	0	0	0	0
input/vocabulary/ValueSet-MedPrescriptionDurationVS.json	320	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	35	0	0	0	0	0	0
input/vocabulary/ValueSet-MedPrescriptionFramingTypeVS.json	329	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	0	0
input/vocabulary/ValueSet-MedPrescriptionFramingDispenseVS.json	341	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	26	0	0	0	0	0	0
input/vocabulary/ValueSet-AddressTypeVS.json	284	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	23	0	0	0	1	0	0
